City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,thunder bay,48.4001,-89.3168,3.99,93,40,2.06,CA,1712806976
83,shimoda,34.6667,138.95,16.2,62,85,4.76,JP,1712807258
84,mora,11.0461,14.1401,25.9,15,65,1.51,CM,1712807259
85,sidrolandia,-20.9319,-54.9614,24.78,80,100,1.22,BR,1712807087
86,puerto princesa,9.7392,118.7353,32.99,58,20,7.2,PH,1712807261
87,chibougamau,49.9168,-74.3659,3.79,65,0,2.06,CA,1712807241
88,hobyo,5.3505,48.5268,29.16,66,32,5.66,SO,1712807116
89,suntar,62.1444,117.6319,-3.31,93,100,4.65,RU,1712807264
90,skien,59.2075,9.6105,6.66,98,100,3.51,NO,1712807265
91,tamanrasset,22.785,5.5228,23.95,14,0,4.12,DZ,1712806954
92,port saint john's,-31.6229,29.5448,15.92,83,67,6.58,ZA,1712807080
93,atafu village,-8.5421,-172.5159,29.94,73,44,3.57,TK,1712807003
94,west island,-12.1568,96.8225,28.99,70,40,5.14,CC,1712807018
95,polyarnyy,69.1989,33.4478,2.44,98,100,7.06,RU,1712807149
96,arraial do cabo,-22.9661,-42.0278,24.63,91,0,5.17,BR,1712806955
97,daru,-9.0763,143.2092,27.76,83,100,2.58,PG,1712807077
98,talnakh,69.4865,88.3972,-23.6,97,90,1.98,RU,1712806950
99,baikunthpur,23.25,82.55,29.16,31,96,2.93,IN,1712807276
100,albany,42.6001,-73.9662,11.81,90,100,1.79,US,1712806997
101,jamestown,42.097,-79.2353,14.45,80,100,3.09,US,1712807055
102,wynyard,-41.0,145.7167,15.28,56,46,2.73,AU,1712807279
103,phnom penh,11.5625,104.916,33.95,52,20,1.54,KH,1712807183
104,ambon,-3.6954,128.1814,30.08,70,40,1.54,ID,1712806994
105,waingapu,-9.6567,120.2641,29.79,68,70,6.0,ID,1712807198
106,rongelap,11.1635,166.8941,26.73,76,100,9.89,MH,1712807284
107,vorgashor,67.5833,63.95,-18.41,98,100,2.75,RU,1712807190
108,saint-francois,46.4154,3.9054,3.01,100,67,1.54,FR,1712807191
109,sidi ifni,29.3797,-10.173,27.86,36,0,1.63,MA,1712807288
110,russkaya polyana,49.417,31.9201,15.37,63,6,1.05,UA,1712807289
111,broken hill,-31.95,141.4333,19.4,38,0,5.77,AU,1712807290
112,tughyl,47.7252,84.2063,5.74,92,100,1.78,KZ,1712807291
